d,t,uid
8,12,5932
8,13,7002
8,14,8165
8,15,9001
8,16,9230
8,17,9489
8,18,9695
8,19,9865
8,20,10198
8,21,10515
8,22,10524
8,23,10606
8,24,10917
8,25,10648
8,26,10667
8,27,10460
8,28,10357
8,29,10386
8,30,10402
8,31,10453
8,32,10629
8,33,10717
8,34,10971
8,35,10780
8,36,10327
8,37,9594
8,38,8823
8,39,7957
8,40,7328
8,41,6704
8,42,6394
8,43,5822
8,44,5526
8,45,5074
8,46,4698
8,47,4148
9,0,3312
9,1,3482
9,2,3338
9,3,3235
9,4,3160
9,5,3089
9,6,3105
9,7,3150
9,8,3409
9,9,3871
9,10,4550
9,11,5806
9,12,7609
9,13,9946
9,14,12448
9,15,13873
9,16,13865
9,17,13071
9,18,12197
9,19,11995
9,20,12022
9,21,12010
9,22,12032
9,23,12142
9,24,12979
9,25,12558
9,26,12442
9,27,12147
9,28,11814
9,29,11956
9,30,12223
9,31,12258
9,32,12360
9,33,12306
9,34,12940
9,35,12927
9,36,12543
9,37,11685
9,38,10679
9,39,9500
9,40,8671
9,41,7914
9,42,7333
9,43,6775
9,44,6340
9,45,5633
9,46,5019
9,47,4504
10,0,3563
10,1,3692
10,2,3537
10,3,3363
10,4,3231
10,5,3146
10,6,3237
10,7,3244
10,8,3484
10,9,3789
10,10,4595
10,11,5873
10,12,7584
10,13,9759
10,14,11925
10,15,13274
10,16,13478
10,17,12728
10,18,11974
10,19,11892
10,20,11864
10,21,11935
10,22,11962
10,23,12138
10,24,12768
10,25,12349
10,26,12442
10,27,11968
10,28,11702
10,29,11959
10,30,12190
10,31,12308
10,32,12291
10,33,12456
10,34,13054
10,35,13260
10,36,12930
10,37,11989
10,38,10952
10,39,9737
10,40,8791
10,41,7973
10,42,7415
10,43,6821
10,44,6134
10,45,5501
10,46,5061
10,47,4365
11,0,3497
11,1,3638
11,2,3462
11,3,3308
11,4,3118
11,5,3129
11,6,3151
11,7,3272
11,8,3436
11,9,3897
11,10,4557
11,11,5797
11,12,7561
11,13,9729
11,14,12035
11,15,13443
11,16,13557
11,17,12767
11,18,12252
11,19,11903
11,20,11868
11,21,11884
11,22,11880
11,23,12022
11,24,12897
11,25,12475
11,26,12527
11,27,11955
11,28,11818
11,29,11960
11,30,12216
11,31,12360
11,32,12437
11,33,12377
11,34,12853
11,35,13046
11,36,12750
11,37,11878
11,38,10984
11,39,9819
11,40,9061
11,41,8135
11,42,7468
11,43,6811
11,44,6300
11,45,5437
11,46,4969
11,47,4541
12,0,3460
12,1,3602
12,2,3425
12,3,3283
12,4,3205
12,5,3222
12,6,3227
12,7,3357
12,8,3542
12,9,3892
12,10,4645
12,11,5831
12,12,7580
12,13,9555
12,14,11765
12,15,13140
12,16,13434
12,17,12829
12,18,12017
12,19,11913
12,20,11961
12,21,12066
12,22,11960
12,23,12083
12,24,12986
12,25,12491
12,26,12439
12,27,12098
12,28,12019
12,29,12226
12,30,12452
12,31,12413
12,32,12553
12,33,12642
12,34,13170
12,35,13451
12,36,13070
12,37,12294
12,38,11239
12,39,10139
12,40,9248
12,41,8489
12,42,7999
12,43,7185
12,44,6629
12,45,5995
12,46,5487
12,47,4786
13,0,3821
13,1,3864
13,2,3564
13,3,3409
13,4,3259
13,5,3166
13,6,3192
13,7,3212
13,8,3295
13,9,3582
13,10,4071
13,11,4865
13,12,5960
13,13,7122
13,14,8368
13,15,9314
13,16,10047
13,17,10735
13,18,10737
13,19,11069
13,20,11265
13,21,11501
13,22,11455
13,23,11619
13,24,11973
13,25,11538
13,26,11478
13,27,11089
13,28,10932
13,29,10917
13,30,10839
13,31,10829
13,32,10961
13,33,11083
13,34,11297
13,35,11112
13,36,10939
13,37,10247
13,38,9445
13,39,8419
13,40,7806
13,41,7319
13,42,7077
13,43,6382
13,44,6151
13,45,5395
13,46,4951
13,47,4497
14,0,3516
14,1,3661
14,2,3454
14,3,3253
14,4,3106
14,5,2883
14,6,2855
14,7,2852
14,8,2900
14,9,3014
14,10,3291
14,11,3737
14,12,4453
14,13,5305
14,14,6212
14,15,6851
14,16,7573
14,17,8296
14,18,8902
14,19,9302
14,20,9793
14,21,10097
14,22,10190
14,23,10367
14,24,10530
14,25,10329
14,26,10192
14,27,10065
14,28,10044
14,29,9934
14,30,10008
14,31,10215
14,32,10215
14,33,10387
14,34,10429
14,35,10260
14,36,9725
14,37,8917
14,38,8293
14,39,7594
14,40,7103
14,41,6571
14,42,6161
14,43,5715
14,44,5394
14,45,4870
14,46,4405
14,47,3964
15,0,3137
15,1,3320
15,2,3094
15,3,3007
15,4,2916
15,5,2935
15,6,2993
15,7,3081
15,8,3298
15,9,3663
15,10,4429
15,11,5605
15,12,7511
15,13,9610
15,14,11586
15,15,13127
15,16,13315
15,17,12858
15,18,12159
15,19,12008
15,20,12145
15,21,12196
15,22,12176
15,23,12285
15,24,13035
15,25,12502
15,26,12567
15,27,12289
15,28,12194
15,29,12232
15,30,12386
15,31,12497
15,32,12432
15,33,12540
15,34,13016
15,35,13105
15,36,12899
15,37,12123
15,38,11150
15,39,10061
15,40,9060
15,41,8241
15,42,7643
15,43,6980
15,44,6362
15,45,5710
15,46,5249
15,47,4790
16,0,3811
16,1,3888
16,2,3639
16,3,3534
16,4,3451
16,5,3346
16,6,3352
16,7,3464
16,8,3661
16,9,4057
16,10,4779
16,11,5993
16,12,7657
16,13,9898
16,14,12378
16,15,13930
16,16,14104
16,17,13126
16,18,12236
16,19,11932
16,20,12026
16,21,11900
16,22,11999
16,23,12092
16,24,12938
16,25,12354
16,26,12398
16,27,12078
16,28,11856
16,29,12056
16,30,12158
16,31,12157
16,32,12177
16,33,12246
16,34,12740
16,35,12880
16,36,12516
16,37,11692
16,38,10888
16,39,10020
16,40,9070
16,41,8306
16,42,7483
16,43,6888
16,44,6308
16,45,5615
16,46,5041
16,47,4503
17,0,3571
17,1,3560
17,2,3490
17,3,3353
17,4,3272
17,5,3268
17,6,3301
17,7,3289
17,8,3460
17,9,3887
17,10,4535
17,11,5731
17,12,7388
17,13,9654
17,14,11865
17,15,13392
17,16,13737
17,17,13081
17,18,12404
17,19,11868
17,20,11985
17,21,12021
17,22,11929
17,23,12112
17,24,12963
17,25,12367
17,26,12445
17,27,12049
17,28,12013
17,29,12311
17,30,12584
17,31,12356
17,32,12371
17,33,12317
17,34,12844
17,35,12915
17,36,12663
17,37,11838
17,38,10662
17,39,9631
17,40,8621
17,41,7779
17,42,7195
17,43,6550
17,44,6111
17,45,5449
17,46,4863
17,47,4430
18,0,3462
18,1,3636
18,2,3474
18,3,3322
18,4,3204
18,5,3204
18,6,3209
18,7,3312
18,8,3535
18,9,3845
18,10,4699
18,11,5783
18,12,7602
18,13,9680
18,14,11970
18,15,13418
18,16,13715
18,17,12853
18,18,12052
18,19,11890
18,20,11965
18,21,11936
18,22,11967
18,23,12128
18,24,12832
18,25,12369
18,26,12402
18,27,11895
18,28,11733
18,29,12054
18,30,12125
18,31,12186
18,32,12346
18,33,12178
18,34,12679
18,35,12755
18,36,12350
18,37,11436
18,38,10652
18,39,9553
18,40,8755
18,41,8062
18,42,7434
18,43,6784
18,44,6309
18,45,5653
18,46,5205
18,47,4695
19,0,3800
19,1,3934
19,2,3781
19,3,3527
19,4,3397
19,5,3412
19,6,3464
19,7,3520
19,8,3729
19,9,4022
19,10,4666
19,11,5780
19,12,7532
19,13,9800
19,14,12030
19,15,13479
19,16,13597
19,17,12979
19,18,12240
19,19,12063
19,20,12035
19,21,12062
19,22,11983
19,23,12067
19,24,12934
19,25,12436
19,26,12627
19,27,12179
19,28,11935
19,29,12191
19,30,12323
19,31,12457
19,32,12429
19,33,12438
19,34,13125
19,35,13372
19,36,13087
19,37,12174
19,38,11133
19,39,10163
19,40,9079
19,41,8279
19,42,7847
19,43,7196
19,44,6604
19,45,5906
19,46,5318
19,47,4777
20,0,3829
20,1,3852
20,2,3753
20,3,3596
20,4,3427
20,5,3284
20,6,3219
20,7,3223
20,8,3383
20,9,3591
20,10,4078
20,11,4887
20,12,5950
20,13,7151
20,14,8420
20,15,9393
20,16,10120
20,17,10640
20,18,10736
20,19,10855
20,20,11041
20,21,11152
20,22,11231
20,23,11388
20,24,11657
20,25,11129
20,26,11175
20,27,10854
20,28,10775
20,29,10592
20,30,10567
20,31,10651
20,32,10878
20,33,11049
20,34,11291
20,35,11182
20,36,10797
20,37,9960
20,38,9009
20,39,8150
20,40,7551
20,41,6944
20,42,6613
20,43,6683
20,44,6135
20,45,5689
20,46,5000
20,47,4462
21,0,3451
21,1,3491
21,2,3388
21,3,3132
21,4,3092
21,5,2872
21,6,2816
21,7,2758
21,8,2909
21,9,3047
21,10,3313
21,11,3884
21,12,4675
21,13,5404
21,14,6275
21,15,7134
21,16,7819
21,17,8669
21,18,9011
21,19,9410
21,20,9843
21,21,10053
21,22,10269
21,23,10344
21,24,10476
21,25,10239
21,26,10011
21,27,9801
21,28,9666
21,29,9844
21,30,9820
21,31,9911
21,32,10025
21,33,10280
21,34,10261
21,35,9987
21,36,9389
21,37,8652
21,38,7965
21,39,7332
21,40,7007
21,41,6598
21,42,6231
21,43,5757
21,44,5207
21,45,4748
21,46,4329
21,47,3820
22,0,3065
22,1,3178
22,2,3086
22,3,2888
22,4,2821
22,5,2785
22,6,2836
22,7,2928
22,8,3205
22,9,3685
22,10,4436
22,11,5627
22,12,7275
22,13,9567
22,14,11901
22,15,13397
22,16,13516
22,17,12789
22,18,12123
22,19,11903
22,20,11984
22,21,11942
22,22,11934
22,23,12332
22,24,13092
22,25,12474
22,26,12536
22,27,12128
22,28,12042
22,29,12110
22,30,12179
22,31,12190
22,32,12218
22,33,12129
22,34,12641
22,35,12761
22,36,12306
22,37,11350
22,38,10515
22,39,9398
22,40,8352
22,41,7595
22,42,6964
22,43,6399
22,44,5975
22,45,5346
22,46,4868
22,47,4345
23,0,3402
23,1,3571
23,2,3429
23,3,3269
23,4,3147
23,5,3150
23,6,3296
23,7,3255
23,8,3525
23,9,3898
23,10,4620
23,11,5711
23,12,7573
23,13,9631
23,14,12016
23,15,13708
23,16,13764
23,17,12985
23,18,12139
23,19,11937
23,20,11898
23,21,11980
23,22,11813
23,23,11998
23,24,12699
23,25,12219
23,26,12454
23,27,11987
23,28,11859
23,29,11975
23,30,12173
23,31,12219
23,32,12216
23,33,12225
23,34,12693
23,35,12929
23,36,12493
23,37,11597
23,38,10863
23,39,9657
23,40,8747
23,41,7808
23,42,7278
23,43,6456
23,44,5897
23,45,5320
23,46,4857
23,47,4337
24,0,3375
24,1,3500
24,2,3362
24,3,3169
24,4,3099
24,5,3075
24,6,3208
24,7,3268
24,8,3489
24,9,3813
24,10,4486
24,11,5675
24,12,7310
24,13,9673
24,14,12027
24,15,13487
24,16,13605
24,17,12979
24,18,12116
24,19,11914
24,20,12019
24,21,12001
24,22,11992
24,23,12141
24,24,12927
24,25,12316
24,26,12410
24,27,11966
24,28,11813
24,29,12043
24,30,12343
24,31,12415
24,32,12478
24,33,12513
24,34,12928
24,35,13118
24,36,12853
24,37,12075
24,38,11085
24,39,9886
24,40,8742
24,41,7757
24,42,7104
24,43,6456
24,44,6019
24,45,5538
24,46,5167
24,47,4649
25,0,3542
25,1,3715
25,2,3476
25,3,3297
25,4,3126
25,5,3194
25,6,3230
25,7,3238
25,8,3436
25,9,3899
25,10,4582
25,11,5732
25,12,7465
25,13,9707
25,14,11885
25,15,13400
25,16,13572
25,17,12952
25,18,12243
25,19,11956
25,20,11983
25,21,12109
25,22,12019
25,23,12042
25,24,12838
25,25,12330
25,26,12568
25,27,12140
25,28,12021
25,29,12222
25,30,12386
25,31,12430
25,32,12540
25,33,12568
25,34,13056
25,35,13128
25,36,12832
25,37,12209
25,38,11315
25,39,10153
25,40,9079
25,41,8201
25,42,7465
25,43,6789
25,44,6323
25,45,5687
25,46,5215
25,47,4493
26,0,3609
26,1,3729
26,2,3513
26,3,3242
26,4,3312
26,5,3297
26,6,3247
26,7,3262
26,8,3536
26,9,3882
26,10,4575
26,11,5760
26,12,7467
26,13,9670
26,14,11948
26,15,13363
26,16,13684
26,17,13046
26,18,12229
26,19,12126
26,20,12130
26,21,12420
26,22,12521
26,23,12837
26,24,13383
26,25,12928
26,26,13020
26,27,12713
26,28,12259
26,29,12520
26,30,12754
26,31,12822
26,32,12764
26,33,12956
26,34,13547
26,35,13830
26,36,13529
26,37,12716
26,38,11749
26,39,10707
26,40,9633
26,41,8798
26,42,8043
26,43,7345
26,44,6788
26,45,6152
26,46,5511
26,47,4966
27,0,3892
27,1,4043
27,2,3796
27,3,3611
27,4,3535
27,5,3389
27,6,3382
27,7,3313
27,8,3354
27,9,3699
27,10,3886
27,11,4315
27,12,4998
27,13,5634
27,14,6636
27,15,6824
27,16,7190
27,17,7378
27,18,7734
27,19,8100
27,20,8257
27,21,8137
27,22,7995
27,23,8013
27,24,7812
27,25,7237
27,26,6956
27,27,6552
27,28,6440
27,29,6177
27,30,6022
27,31,6378
27,32,6491
27,33,6321
27,34,6414
27,35,6186
27,36,6228
27,37,5785
27,38,5911
27,39,5507
27,40,5501
27,41,5239
27,42,5148
27,43,4722
27,44,4639
27,45,4304
27,46,4190
27,47,3929
28,0,3162
28,1,3424
28,2,3151
28,3,3084
28,4,3021
28,5,2938
28,6,2937
28,7,2864
28,8,3005
28,9,3125
28,10,3445
28,11,3971
28,12,4864
28,13,5720
28,14,6830
28,15,7585
28,16,8347
28,17,9037
28,18,9642
28,19,10234
28,20,10409
28,21,10705
28,22,10833
28,23,11031
28,24,11134
28,25,10823
28,26,10837
28,27,10476
28,28,10610
28,29,10328
28,30,10189
28,31,10299
28,32,10520
28,33,10551
28,34,10631
28,35,10519
28,36,9954
28,37,9296
28,38,8439
28,39,7684
28,40,6917
28,41,6628
28,42,6048
28,43,5946
28,44,5775
28,45,5268
28,46,4677
28,47,4263
29,0,3257
29,1,3449
29,2,3244
29,3,3068
29,4,3050
29,5,2984
29,6,2996
29,7,3024
29,8,3155
29,9,3485
29,10,4013
29,11,4890
29,12,6201
29,13,7372
29,14,8736
29,15,9527
29,16,9822
29,17,10114
29,18,10300
29,19,10435
29,20,10703
29,21,10730
29,22,10955
29,23,11001
29,24,11515
29,25,11043
29,26,11031
29,27,10718
29,28,10860
29,29,10787
29,30,10943
29,31,10692
29,32,10872
29,33,10646
29,34,11061
29,35,10635
29,36,10106
29,37,9385
29,38,8624
29,39,7844
29,40,7201
29,41,6739
29,42,6181
29,43,5853
29,44,5424
29,45,5008
29,46,4676
29,47,4248
30,0,3464
30,1,3594
30,2,3445
30,3,3321
30,4,3244
30,5,3159
30,6,3102
30,7,3185
30,8,3443
30,9,3833
30,10,4554
30,11,5788
30,12,7595
30,13,9947
30,14,12324
30,15,13899
30,16,13984
30,17,13282
30,18,12332
30,19,12146
30,20,12076
30,21,12250
30,22,12126
30,23,12298
30,24,13184
30,25,12566
30,26,12703
30,27,12274
30,28,12008
30,29,12290
30,30,12600
30,31,12659
30,32,12845
30,33,12795
30,34,13232
30,35,13222
30,36,12832
30,37,11905
30,38,10978
30,39,9758
30,40,8781
30,41,7940
30,42,7345
30,43,6634
30,44,6108
30,45,5460
30,46,4988
30,47,4527
31,0,3587
31,1,3703
31,2,3530
31,3,3386
31,4,3392
31,5,3269
31,6,3295
31,7,3403
31,8,3620
31,9,4003
31,10,4680
31,11,5714
31,12,7518
31,13,9831
31,14,12083
31,15,13632
31,16,13641
31,17,12933
31,18,12203
31,19,12167
31,20,12164
31,21,12122
31,22,12112
31,23,12208
31,24,12924
31,25,12456
31,26,12538
31,27,12147
31,28,11977
31,29,12188
31,30,12312
31,31,12488
31,32,12585
31,33,12465
31,34,13183
31,35,13262
31,36,12939
31,37,12000
31,38,10845
31,39,9871
31,40,9094
31,41,8322
31,42,7527
31,43,6701
31,44,6143
31,45,5463
31,46,4973
31,47,4559
32,0,3539
32,1,3609
32,2,3499
32,3,3313
32,4,3291
32,5,3248
32,6,3294
32,7,3328
32,8,3559
32,9,3937
32,10,4661
32,11,5785
32,12,7464
32,13,9719
32,14,12019
32,15,13457
32,16,13689
32,17,13030
32,18,12356
32,19,12090
32,20,12043
32,21,12081
32,22,12129
32,23,12240
32,24,13122
32,25,12543
32,26,12588
32,27,12085
32,28,12073
32,29,12257
32,30,12535
32,31,12516
32,32,12488
32,33,12441
32,34,13041
32,35,13098
32,36,12898
32,37,11923
32,38,10920
32,39,9762
32,40,8888
32,41,8098
32,42,7330
32,43,6680
32,44,6232
32,45,5626
32,46,5095
32,47,4524
33,0,3580
33,1,3641
33,2,3616
33,3,3372
33,4,3317
33,5,3246
33,6,3306
33,7,3410
33,8,3612
33,9,3988
33,10,4699
33,11,5772
33,12,7421
33,13,9665
33,14,11867
33,15,13480
33,16,13562
33,17,13054
33,18,12264
33,19,12184
33,20,12202
33,21,12351
33,22,12246
33,23,12288
33,24,12923
33,25,12551
33,26,12751
33,27,12210
33,28,12160
33,29,12557
33,30,12748
33,31,12640
33,32,12580
33,33,12674
33,34,13227
33,35,13329
33,36,13235
33,37,12348
33,38,11294
33,39,10163
33,40,9367
33,41,8662
33,42,8026
33,43,7231
33,44,6753
33,45,6248
33,46,5704
33,47,5186
34,0,4020
34,1,4146
34,2,3929
34,3,3586
34,4,3487
34,5,3398
34,6,3413
34,7,3343
34,8,3386
34,9,3668
34,10,4038
34,11,4745
34,12,5861
34,13,7209
34,14,8405
34,15,9280
34,16,9889
34,17,10302
34,18,10535
34,19,10869
34,20,11012
34,21,11096
34,22,11217
34,23,11443
34,24,11617
34,25,11200
34,26,11061
34,27,10585
34,28,10726
34,29,10783
34,30,10836
34,31,10827
34,32,11028
34,33,11246
34,34,11311
34,35,10965
34,36,10514
34,37,9756
34,38,8844
34,39,8007
34,40,7513
34,41,7124
34,42,6850
34,43,6361
34,44,5985
34,45,5406
34,46,4945
34,47,4429
35,0,3529
35,1,3600
35,2,3338
35,3,3227
35,4,3056
35,5,2970
35,6,2907
35,7,2943
35,8,3086
35,9,3183
35,10,3503
35,11,3983
35,12,4869
35,13,5775
35,14,6832
35,15,7682
35,16,8414
35,17,9017
35,18,9407
35,19,9783
35,20,10118
35,21,10396
35,22,10479
35,23,10614
35,24,10643
35,25,10412
35,26,10328
35,27,10253
35,28,10203
35,29,10323
35,30,10369
35,31,10373
35,32,10568
35,33,10734
35,34,10726
35,35,10258
35,36,9475
35,37,8707
35,38,8046
35,39,7310
35,40,6738
35,41,6219
35,42,6051
35,43,5933
35,44,5567
35,45,5071
35,46,4567
35,47,4057
36,0,3228
36,1,3377
36,2,3238
36,3,3108
36,4,2978
36,5,2956
36,6,2908
36,7,2981
36,8,3177
36,9,3511
36,10,4130
36,11,5245
36,12,6763
36,13,8882
36,14,10827
36,15,12262
36,16,12582
36,17,12181
36,18,11735
36,19,11702
36,20,11664
36,21,11826
36,22,11931
36,23,12075
36,24,12565
36,25,12254
36,26,12513
36,27,11969
36,28,11785
36,29,11938
36,30,12061
36,31,12168
36,32,12215
36,33,12179
36,34,12495
36,35,12443
36,36,11999
36,37,11216
36,38,10200
36,39,9035
36,40,8229
36,41,7436
36,42,7056
36,43,6465
36,44,6162
36,45,5498
36,46,4981
36,47,4489
37,0,3508
37,1,3562
37,2,3467
37,3,3247
37,4,3121
37,5,3046
37,6,3039
37,7,3106
37,8,3089
37,9,3353
37,10,3627
37,11,4327
37,12,5277
37,13,6411
37,14,7470
37,15,8167
37,16,8785
37,17,9134
37,18,9621
37,19,9830
37,20,10338
37,21,10461
37,22,10837
37,23,10871
37,24,11034
37,25,10731
37,26,10855
37,27,10805
37,28,10758
37,29,10559
37,30,10694
37,31,10560
37,32,10743
37,33,10910
37,34,10973
37,35,10737
37,36,10044
37,37,9246
37,38,8418
37,39,7683
37,40,7094
37,41,6610
37,42,6273
37,43,5675
37,44,5354
37,45,4898
37,46,4433
37,47,4021
38,0,3232
38,1,3385
38,2,3252
38,3,3179
38,4,3119
38,5,3008
38,6,3122
38,7,3213
38,8,3400
38,9,3848
38,10,4559
38,11,5769
38,12,7538
38,13,9804
38,14,12132
38,15,13475
38,16,13671
38,17,13103
38,18,12377
38,19,12243
38,20,12205
38,21,12192
38,22,12231
38,23,12378
38,24,13071
38,25,12526
38,26,12745
38,27,12339
38,28,12079
38,29,12285
38,30,12378
38,31,12450
38,32,12547
38,33,12567
38,34,13067
38,35,13121
38,36,12719
38,37,11791
38,38,10833
38,39,9687
38,40,8843
38,41,7861
38,42,7196
38,43,6810
38,44,6258
38,45,5628
38,46,4972
38,47,4564
39,0,3513
39,1,3702
39,2,3560
39,3,3394
39,4,3337
39,5,3266
39,6,3342
39,7,3388
39,8,3625
39,9,4017
39,10,4793
39,11,5943
39,12,7627
39,13,9720
39,14,11940
39,15,13525
39,16,13659
39,17,13033
39,18,12183
39,19,12114
39,20,12020
39,21,11938
39,22,11886
39,23,12102
39,24,12818
39,25,12311
39,26,12439
39,27,12062
39,28,11892
39,29,12064
39,30,12298
39,31,12244
39,32,12348
39,33,12373
39,34,12720
39,35,12605
39,36,12283
39,37,11461
39,38,10543
39,39,9547
39,40,8602
39,41,7886
39,42,7311
39,43,6541
39,44,6076
39,45,5354
39,46,4893
39,47,4476
40,0,3508
40,1,3629
40,2,3565
40,3,3412
40,4,3350
40,5,3205
40,6,3271
40,7,3317
40,8,3534
40,9,3869
40,10,4537
40,11,5720
40,12,7400
40,13,9471
40,14,11764
40,15,13261
40,16,13365
40,17,13070
40,18,12289
40,19,12223
40,20,11968
40,21,11965
40,22,11971
40,23,12036
40,24,12635
40,25,12168
40,26,12251
40,27,11838
40,28,11544
40,29,11708
40,30,12065
40,31,12193
40,32,12306
40,33,12484
40,34,12981
40,35,13160
40,36,12792
40,37,11952
40,38,11106
40,39,10064
40,40,9098
40,41,8239
40,42,7752
40,43,7049
40,44,6532
40,45,5851
40,46,5276
40,47,4742
41,0,3667
41,1,3839
41,2,3633
41,3,3482
41,4,3253
41,5,3228
41,6,3157
41,7,3161
41,8,3255
41,9,3446
41,10,3890
41,11,4613
41,12,5762
41,13,6987
41,14,8311
41,15,9270
41,16,9772
41,17,10255
41,18,10437
41,19,10630
41,20,10866
41,21,11234
41,22,11410
41,23,11473
41,24,11592
41,25,11021
41,26,11223
41,27,10770
41,28,10581
41,29,10600
